,Unnamed: 0,symbol,date,close,high,low,open,volume,adjClose,adjVolume,divCash,splitFactor
85,85,AAPL,2015-09-25 00:00:00+00:00,114.71,116.69,114.02,116.44,56151926,106.1853934,56151926,0.0,1.0
86,86,AAPL,2015-09-28 00:00:00+00:00,112.44,114.57,112.44,113.85,50782189,104.0840871,50782189,0.0,1.0
87,87,AAPL,2015-09-29 00:00:00+00:00,109.06,113.51,107.86,112.83,73365384,100.9552699,73365384,0.0,1.0
88,88,AAPL,2015-09-30 00:00:00+00:00,110.3,111.54,108.73,110.17,65041596,102.10312,65041596,0.0,1.0
89,89,AAPL,2015-10-01 00:00:00+00:00,109.58,109.62,107.31,109.07,63929100,101.4366264,63929100,0.0,1.0
90,90,AAPL,2015-10-02 00:00:00+00:00,110.38,111.0136,107.55,108.01,58019758,102.1771748,58019758,0.0,1.0
91,91,AAPL,2015-10-05 00:00:00+00:00,110.78,111.3698,109.07,109.88,52064743,102.5474491,52064743,0.0,1.0
92,92,AAPL,2015-10-06 00:00:00+00:00,111.31,111.74,109.765,110.63,48856977,103.0380624,48856977,0.0,1.0
93,93,AAPL,2015-10-07 00:00:00+00:00,110.78,111.77,109.41,111.74,46765550,102.5474491,46765550,0.0,1.0
94,94,AAPL,2015-10-08 00:00:00+00:00,109.5,110.19,108.21,110.19,61979577,101.3625715,61979577,0.0,1.0
95,95,AAPL,2015-10-09 00:00:00+00:00,112.12,112.28,109.49,110.0,52766140,103.7878678,52766140,0.0,1.0
96,96,AAPL,2015-10-12 00:00:00+00:00,111.6,112.75,111.44,112.73,30467204,103.3065113,30467204,0.0,1.0
97,97,AAPL,2015-10-13 00:00:00+00:00,111.79,112.45,110.68,110.82,33049256,103.4823915,33049256,0.0,1.0
98,98,AAPL,2015-10-14 00:00:00+00:00,110.21,111.52,109.56,111.29,44462449,102.0198083,44462449,0.0,1.0
99,99,AAPL,2015-10-15 00:00:00+00:00,111.86,112.1,110.49,110.93,37673452,103.5471895,37673452,0.0,1.0
100,100,AAPL,2015-10-16 00:00:00+00:00,111.04,112.0,110.53,111.78,39232609,102.7881273,39232609,0.0,1.0
101,101,AAPL,2015-10-19 00:00:00+00:00,111.73,111.75,110.11,110.8,29759153,103.4268504,29759153,0.0,1.0
102,102,AAPL,2015-10-20 00:00:00+00:00,113.77,114.17,110.82,111.34,48967763,105.315249,48967763,0.0,1.0
103,103,AAPL,2015-10-21 00:00:00+00:00,113.76,115.58,113.7,114.0,42326974,105.3059921,42326974,0.0,1.0
104,104,,2015-10-22 00:00:00+00:00,115.5,115.5,114.1,114.33,41654089,106.916685,41654089,0.0,1.0
105,105,AAPL,2015-10-23 00:00:00+00:00,119.08,119.228,116.33,116.7,59366914,110.2306394,59366914,0.0,1.0
106,106,AAPL,2015-10-26 00:00:00+00:00,115.28,118.13,114.92,118.08,66333781,106.7130342,66333781,0.0,1.0
107,107,AAPL,2015-10-27 00:00:00+00:00,114.55,116.54,113.99,115.4,69884400,106.0372837,69884400,0.0,1.0
